,Mining,Construction,Manufacturing,Wholesale trade,Retail trade,"Transport, warehousing & utilities",Information,Financial activities,Professional & business services,Education & health,Leisure & hospitality,Other services
PA,0.008792178132853719,0.05347833812518185,0.13748117049922534,0.048725953089162735,0.13424782291405324,0.04557173694745243,0.022205060036637653,0.06853539557645007,0.1385828764872673,0.2034381487577079,0.10043109256395487,0.03851022687005288
RI,0.0026854737669219585,0.05459824497940977,0.1263202780818866,0.04064144732901965,0.12397977150714729,0.0252424951668659,0.02633968248644686,0.07993656436632642,0.13449168844671336,0.22196722332553165,0.12034084675072047,0.0434562837930101
SC,0.009214131425601325,0.08245442886881209,0.1657322593199134,0.04565797687423439,0.15406685942491177,0.041039484097444776,0.018042354575918802,0.06369902549998302,0.140251212574733,0.11112982973021682,0.1367767321470082,0.03193570546122242
SD,0.013021586161983576,0.06935845100624236,0.13150245405594294,0.05817939228362216,0.1563638674015598,0.03748272630525597,0.022088091872230254,0.09262830185682291,0.08143018250551964,0.17027812634020045,0.134907953047318,0.03275886716330194
TN,0.004387439056771611,0.05605378367666102,0.17180212929582786,0.057028961401295104,0.1412617663627377,0.06141683081010759,0.021123829926594853,0.06128686449376183,0.13774062596425754,0.141296624878049,0.11627681792536748,0.030324326208568394
TX,0.030080725295762303,0.07364643363861662,0.11268415104669507,0.060666857755002294,0.1378732743829466,0.04881715144691042,0.02709619627601506,0.07534397420526365,0.149570847784034,0.13572553715624316,0.1145745635482015,0.033920287464309265
UT,0.014783166252330322,0.09726762991770882,0.12498095348149905,0.045652331754048855,0.14399065723527385,0.04782235657332424,0.032014513191439754,0.07302920943398349,0.1562458775152909,0.12354926886934753,0.11081545687612554,0.02984857889962766
VA,0.007434501376553861,0.08388548606434822,0.09700792616381142,0.04022646759217661,0.1427163794260977,0.03817400408069725,0.03088690047722553,0.06477088900712119,0.21183247401777724,0.12690611737775997,0.11395126652714357,0.04220758788928745
VT,0.01211475631374357,0.06889671454804168,0.14401376821386838,0.04095487173779979,0.160834519106179,0.03403101822777968,0.024070526324157175,0.051451942415160934,0.08840830862421202,0.2067418141927073,0.13282908177460512,0.03565267852174535
WA,0.0372444607402165,0.07766688125924631,0.1200074183659983,0.0525523016120024,0.13436536731570264,0.03750964600751216,0.04166435730943539,0.06524154455496199,0.13663734848840134,0.13551947747417428,0.11393672219072022,0.04765447468162846
WI,0.009272381192752206,0.05356889716166619,0.2126800643594031,0.05094446372422206,0.13215256964381486,0.044563628524255716,0.020738871186547624,0.06627251790390258,0.11382570379951835,0.15126436781609195,0.10910811748745938,0.03560841720036596
WV,0.051104758144683134,0.06979293716203354,0.10752709019253953,0.04410748655184326,0.1599502259572338,0.04092081979117462,0.02029208761923562,0.050628873174893015,0.10510536445738539,0.18740878871412356,0.12479642698514534,0.03836514124970918
WY,0.13889022779636181,0.11540204178033991,0.04890439879305525,0.03951008840002699,0.14881956561557075,0.05196514127616091,0.020114139184251877,0.05358468375541053,0.08217250055430769,0.1039254624854193,0.1571872017583604,0.03952454860073458
