,Mining,Construction,Manufacturing,"Trade, transport & utilities",Information,Financial activities,Professional & business services,Education & health,Leisure & hospitality,Other services
RI,0.0026854673336016406,0.05459811418386707,0.12631997546905843,0.18986565476532705,0.026339619387109756,0.07993637287031181,0.13449136625845648,0.2219666915809042,0.1203405584622166,0.04345617968914697
SC,0.009214125409007002,0.08245437502815953,0.1657321511009479,0.2407648161582497,0.01804234279471848,0.06369898390613359,0.14025112099424533,0.11112975716525417,0.13677664283526822,0.031935684608016046
SD,0.013021586161983576,0.06935845100624236,0.13150245405594294,0.2520259859904379,0.022088091872230254,0.09262830185682291,0.08143018250551964,0.17027812634020045,0.134907953047318,0.03275886716330194
TN,0.004387439056771611,0.05605378367666102,0.17180212929582786,0.2597075585741404,0.021123829926594853,0.06128686449376183,0.13774062596425754,0.141296624878049,0.11627681792536748,0.030324326208568394
TX,0.030080725295762303,0.07364643363861662,0.11268415104669507,0.24735728358485934,0.02709619627601506,0.07534397420526365,0.149570847784034,0.13572553715624316,0.1145745635482015,0.033920287464309265
UT,0.01478318137008267,0.0972677293867884,0.12498108129113542,0.23746456576961308,0.03201454593053459,0.07302928411605657,0.15624603729746755,0.12354939521489608,0.11081557019965885,0.029848609423766808
VA,0.0074344988746621295,0.0838854578348284,0.09700789351826924,0.2211171132122204,0.03088689008302732,0.06477086721013127,0.2118324027309635,0.12690607467074444,0.11395122817975253,0.04220757368540076
VT,0.01211475631374357,0.06889671454804168,0.14401376821386838,0.23582040907175847,0.024070526324157175,0.051451942415160934,0.08840830862421202,0.2067418141927073,0.13282908177460512,0.03565267852174535
WA,0.037244444861312856,0.0776668481465391,0.12000736720171254,0.22442764559496337,0.04166433954614115,0.06524151673970628,0.1366372902340664,0.13551941969643547,0.1139366736146314,0.04765445436449145
WI,0.009272385093178152,0.05356891969541584,0.2126801538232446,0.22766033700785016,0.0207388799103511,0.06627254578142865,0.11382575168028591,0.15126443144542867,0.10910816338377487,0.03560843217904205
WV,0.051104758144683134,0.06979293716203354,0.10752709019253953,0.24497853230025168,0.02029208761923562,0.050628873174893015,0.10510536445738539,0.18740878871412356,0.12479642698514534,0.03836514124970918
WY,0.13889089725977877,0.11540259802858313,0.04890463451666546,0.2402911334441954,0.020114236136215748,0.05358494203841612,0.08217289663316704,0.10392596341551587,0.15718795941484107,0.03952473911262141
