,state_fips,industry_code,emp_state_ind,emp_state_total,emp_nat_ind,share,emp_nat_loo,share_of_nat
101,15,20,35723,500310,7589577,0.07140173092682536,7553854,0.004706849933797365
102,15,30,15149,500310,14108909,0.030279226879334813,14093760,0.0010737187404072136
103,15,40,120758,500310,25978749,0.24136635286122604,25857991,0.004648337762530444
104,15,50,10706,500310,3018358,0.02139873278567288,3007652,0.003546961626155678
105,15,55,29922,500310,8135115,0.059806919709779936,8105193,0.003678128705002941
106,15,60,78275,500310,17325563,0.15645299914053287,17247288,0.004517890702887981
107,15,65,69697,500310,16829499,0.13930762926985268,16759802,0.004141359169396546
108,15,70,107807,500310,12970494,0.21548040215066658,12862687,0.008311711180776924
109,15,80,24686,500310,4308397,0.04934140832683736,4283711,0.005729741247150622
110,16,10,24096,532886,1776779,0.04521792653588197,1752683,0.013561619087123385
111,16,20,52113,532886,7589577,0.09779389963331744,7537464,0.006866390577498588
112,16,30,65981,532886,14108909,0.12381822753834779,14042928,0.004676548696997054
113,16,40,126344,532886,25978749,0.23709386247715272,25852405,0.0048633596637005115
114,16,50,10592,532886,3018358,0.0198766715582695,3007766,0.0035091927465197965
115,16,55,29828,532886,8135115,0.055974448568737026,8105287,0.0036665738591279903
116,16,60,81598,532886,17325563,0.15312468332814147,17243965,0.004709688221964273
117,16,65,66979,532886,16829499,0.12569104836681766,16762520,0.003979857035554059
118,16,70,59727,532886,12970494,0.11208213388980007,12910767,0.004604836176632902
119,16,80,15628,532886,4308397,0.02932709810353434,4292769,0.003627335178257714
120,17,10,25835,5005806,1776779,0.005161007038626746,1750944,0.014540356454010318
121,17,20,275205,5005806,7589577,0.05497716052120278,7314372,0.03626091414580813
122,17,30,682715,5005806,14108909,0.13638463016744956,13426194,0.04838892929283193
123,17,40,1181726,5005806,25978749,0.23607107426855936,24797023,0.04548817958863223
124,17,50,116813,5005806,3018358,0.023335502814132228,2901545,0.03870084330619496
125,17,55,399344,5005806,8135115,0.07977616391845789,7735771,0.049088918841343976
126,17,60,855136,5005806,17325563,0.1708288335584719,16470427,0.04935689535745534
127,17,65,750330,5005806,16829499,0.14989194547291684,16079169,0.044584214895523624
128,17,70,522867,5005806,12970494,0.10445211020962458,12447627,0.0403120343758688
129,17,80,195835,5005806,4308397,0.03912157203055812,4112562,0.045454260598547444
130,18,10,18788,2493757,1776779,0.007534013939609994,1757991,0.010574190712519678
131,18,20,150648,2493757,7589577,0.06041005599182278,7438929,0.019849327571220373
132,18,30,565032,2493757,14108909,0.2265786121101615,13543877,0.04004788747308527
133,18,40,578299,2493757,25978749,0.23189869742721525,25400450,0.022260463735186017
134,18,50,39875,2493757,3018358,0.015989930053329174,2978483,0.013210825223515568
135,18,55,136601,2493757,8135115,0.05477718959786378,7998514,0.01679152661025689
136,18,60,279986,2493757,17325563,0.11227477256204194,17045577,0.01616028292991114
137,18,65,359759,2493757,16829499,0.1442638557004552,16469740,0.02137669101141989
138,18,70,280923,2493757,12970494,0.11265051085570887,12689571,0.021658619941538077
139,18,80,83846,2493757,4308397,0.03362236176179154,4224551,0.019461066378051978
140,19,10,16294,1240336,1776779,0.01313676294165452,1760485,0.009170527116765788
141,19,20,74412,1240336,7589577,0.059993421137498226,7515165,0.009804498985911863
142,19,30,231162,1240336,14108909,0.18637046735723223,13877747,0.016384115880256934
143,19,40,305731,1240336,25978749,0.24649046709923764,25673018,0.011768503556503048
144,19,50,32965,1240336,3018358,0.02657747578075618,2985393,0.010921501028042398
145,19,55,100719,1240336,8135115,0.0812029966073709,8034396,0.01238077150722516
146,19,60,116974,1240336,17325563,0.09430831645618606,17208589,0.006751526631486665
147,19,65,187376,1240336,16829499,0.15106874266327833,16642123,0.011133783602233199
148,19,70,134072,1240336,12970494,0.10809329085022124,12836422,0.010336691879276149
149,19,80,40631,1240336,4308397,0.03275805910656467,4267766,0.00943065367467297
150,20,10,18260,1085931,1776779,0.016815064677221665,1758519,0.010277023760411397
151,20,20,64867,1085931,7589577,0.059733997832274795,7524710,0.008546853138192024
152,20,30,182714,1085931,14108909,0.16825562581784662,13926195,0.012950257174385348
153,20,40,256056,1085931,25978749,0.23579398691077058,25722693,0.00985636375331237
154,20,50,39382,1085931,3018358,0.03626565592104839,2978976,0.013047491384388465
155,20,55,71826,1085931,8135115,0.0661423239598096,8063289,0.008829131487385242
156,20,60,139661,1085931,17325563,0.1286094604537489,17185902,0.008060979028502566
