h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_lev_h,delta_lev_se,delta_lev_t,delta_lev_p,delta_chg_h,delta_chg_se,delta_chg_t,delta_chg_p,phi_lev_h,phi_lev_p,phi_chg_h,phi_chg_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd,label
10,-0.36219911467747457,0.11121165706645635,-3.2568448688884883,0.0011265798465335576,10.607038500005276,-0.5451422905517953,-0.17925593880315382,-0.580173962527729,-0.14422426682722012,0.14798440777928745,0.050485934119330236,2.9312007465189525,0.003376545083520921,-0.016336208849868,0.15695448933474884,-0.10408245676252381,0.9171039127114464,0.05908748409586899,0.04152243062550658,-0.9826317065310693,6.874897108311912e-07,3200,0.8862391342384714,50,2001Q3–2017Q2,vacancy,8.91642575592369,QU (sev+vac)
11,-0.4054405899375326,0.11522531467036734,-3.518676352478648,0.0004337054536220613,12.381083273492443,-0.5949862325702869,-0.21589494730477835,-0.6312822066914525,-0.17959897318361265,0.1531946919802816,0.05098601335178358,3.0046415067461356,0.0026589404096807995,-0.008142615040299922,0.1681621797111151,-0.048421202997535336,0.961380561574375,0.0758650835753147,0.006401616304986766,-0.8959292710801904,1.604986423486214e-05,3150,0.8929337264518488,50,2001Q3–2017Q1,vacancy,8.91642575592369,QU (sev+vac)
12,-0.43907095212358555,0.11267002137164947,-3.896963422730534,9.740632370125187e-05,15.18632391809968,-0.624413137279949,-0.2537287669672222,-0.6599041940120185,-0.2182377102351526,0.15227996079351566,0.05237280831991556,2.907614956664619,0.0036419645829943942,-0.037189994778401785,0.1669501112734478,-0.22276112603176554,0.8237214247151443,0.07869516468844064,0.008802736923957676,-0.7203389939381344,0.0013633326845334025,3100,0.898455031642999,50,2001Q3–2016Q4,vacancy,8.91642575592369,QU (sev+vac)
13,-0.4704099058960759,0.11862171190670785,-3.965630729271873,7.320211778224021e-05,15.726227080945367,-0.6655426219826104,-0.27527718980954147,-0.7029084612332233,-0.2379113505589285,0.1535000173429635,0.055045871639814135,2.788583644335254,0.00529390749585696,0.026068004783644027,0.16547985534355605,0.15752977744344604,0.8748273418518961,0.08900440230916004,0.0031403544117636303,-0.6125839076013753,0.008839467770386286,3050,0.9042470105766034,50,2001Q3–2016Q3,vacancy,8.91642575592369,QU (sev+vac)
14,-0.5170741621256022,0.12037339137688693,-4.295585230349223,1.7423307939328424e-05,18.45205247119439,-0.7150883909405811,-0.31905993331062316,-0.7530060092243005,-0.28114231502690373,0.14165151013782992,0.05300592701584796,2.6723711500315477,0.00753172931360991,-0.023685776806015555,0.1556067944336435,-0.15221556932795788,0.8790169145048248,0.07870260789868264,0.008300623931598793,-0.568011417819224,0.023175920625671555,3000,0.9091652096970456,50,2001Q3–2016Q2,vacancy,8.91642575592369,QU (sev+vac)
15,-0.5166631357891904,0.12583431340713935,-4.105900225461689,4.027433039215683e-05,16.858416661446352,-0.7236605813439347,-0.3096656902344461,-0.7632983900671835,-0.2700278815111973,0.11123812405269716,0.0548799865021169,2.026934245845821,0.04266913768684153,0.11524573059937457,0.14215372204853988,0.8107120161090309,0.4175310711933835,0.07954092106020204,0.011172939693403432,-0.41544775837755776,0.1064051390888287,2950,0.9136434106485092,50,2001Q3–2016Q1,vacancy,8.91642575592369,QU (sev+vac)
16,-0.45902960099845996,0.12978506776145896,-3.536844483851891,0.00040493803125299735,12.509268902953549,-0.6725260374660599,-0.24553316453086,-0.7134083338109194,-0.20465086818600045,0.07546350137847267,0.055832363551965455,1.3516085757006455,0.17650056548776816,0.24524391742680718,0.12800611289082817,1.915876608455152,0.05538080355349071,0.07000143934871901,0.026661960894047623,-0.13832850019746384,0.6193166950314576,2900,0.9167745965143204,50,2001Q3–2015Q4,vacancy,8.91642575592369,QU (sev+vac)
17,-0.40667865972465433,0.1363393429154425,-2.9828415703666398,0.0028558578268350118,8.897343833907321,-0.6309568788205573,-0.18240044062875144,-0.6739037718389216,-0.13945354761038703,0.056509159991133345,0.05470891346883978,1.0329059088939672,0.3016479332837072,0.15889769637013942,0.12900371912335906,1.2317295768674268,0.2180501175158841,0.07938753522958497,0.01034065619355626,-0.07490901111985411,0.8002313602012215,2850,0.9204082769167988,50,2001Q3–2015Q3,vacancy,8.91642575592369,QU (sev+vac)
18,-0.41274089978438366,0.14063537231577491,-2.9348299292559057,0.003337305497135515,8.613226713656225,-0.6440860872438333,-0.18139571232493393,-0.6883862295233024,-0.13709557004546483,0.027373559991039218,0.05477482821616496,0.4997470714652251,0.6172531834463466,0.2137799323569157,0.13268058077844075,1.6112375383244688,0.10712795891898078,0.04803625230697033,0.12879792785004157,0.19107786275718097,0.5459720916496804,2800,0.9248972915615703,50,2001Q3–2015Q2,vacancy,8.91642575592369,QU (sev+vac)
19,-0.35105714805668337,0.14617964542040796,-2.401546036365421,0.01632595466881538,5.767423364782465,-0.5915226647732544,-0.1105916313401123,-0.6375692530806829,-0.06454504303268382,0.004981424228413852,0.0560282536689153,0.08890914676460042,0.929154114276334,0.00521378942203077,0.13993200976595768,0.037259447861508296,0.9702781389434372,0.0492900112341443,0.11622687479178824,0.24260784064846985,0.45100287336227796,2750,0.9278007556837053,50,2001Q3–2015Q1,vacancy,8.91642575592369,QU (sev+vac)
