h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_h,delta_h_se,delta_h_t,delta_h_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd
10,-0.23807541880735117,0.18546923836381235,-1.2836383052393179,0.19926854035423025,1.6477272986776683,-0.5431723159158225,0.06702147830112018,-0.6015951260004234,0.12544428838572105,-0.009166514033292777,0.00394300884629239,-2.3247510697096327,0.02008527476398419,2350,0.9136543872828434,50,2005Q4-2017Q2,vacancy,11.159107723175232
11,-0.20872713701226106,0.19902133548466808,-1.0487676434486628,0.2942850728693708,1.0999135699448614,-0.53611723388454,0.11866295986001796,-0.5988089545622105,0.1813546805376884,-0.005812793971941504,0.004016506754378678,-1.4472262409628882,0.14783356937586195,2300,0.919935277677303,50,2005Q4-2017Q1,vacancy,11.159107723175232
12,-0.2324742704546616,0.2040462341142565,-1.1393215437854478,0.25456906586999994,1.2980535801336561,-0.5681303255726136,0.10318178466329031,-0.6324048893186043,0.1674563484092811,-0.0028248884789474284,0.0034700109431016713,-0.8140863315037273,0.4155954956223503,2250,0.9246790655589707,50,2005Q4-2016Q4,vacancy,11.159107723175232
13,-0.17285543978695297,0.20080916455444395,-0.860794576634414,0.3893511925276276,0.7409673031632201,-0.5031865154790133,0.15747563590510733,-0.5664414023136631,0.22073052273975716,-0.000475044341263028,0.002922798270123235,-0.16253066320687215,0.8708879835373127,2200,0.9284743449415104,50,2005Q4-2016Q3,vacancy,11.159107723175232
14,-0.2678208179354234,0.20915709675703334,-1.2804768381659868,0.20037748555106694,1.6396209330795628,-0.6118842421007432,0.07624260622989644,-0.6777687275792087,0.14212709170836196,0.0002495119064071328,0.002684930798221833,0.09293047946426726,0.9259587914049128,2150,0.9308450026475382,50,2005Q4-2016Q2,vacancy,11.159107723175232
15,-0.27972575821311907,0.20489210283757778,-1.3652344543257653,0.17217937255892224,1.86386511527817,-0.6167732673809345,0.05732175095469638,-0.6813142797747715,0.12186276334853337,-0.0016295358212088972,0.0023677775469574964,-0.6882132248034822,0.4913185170586257,2100,0.9322986795493432,50,2005Q4-2016Q1,vacancy,11.159107723175232
16,-0.2708350562072266,0.19965145411287372,-1.3565393621130801,0.17492762022398067,1.8401990409621622,-0.5992616982229039,0.057591585808450654,-0.6621519062684591,0.1204817938540059,-0.0008257662587713274,0.003029560617259177,-0.2725696439500169,0.7851840492467117,2050,0.9333873458674953,50,2005Q4-2015Q4,vacancy,11.159107723175232
17,-0.2402522667478562,0.20700029335218031,-1.160637324987277,0.24578941974893376,1.3470790001536221,-0.5807677493121928,0.10026321581648044,-0.6459728417181296,0.1654683082224172,0.00018551513431094225,0.0033527494288287715,0.05533223947956915,0.9558737781099891,2000,0.9348055056337237,50,2005Q4-2015Q3,vacancy,11.159107723175232
18,-0.26775281780540916,0.21176021691987534,-1.2644151092210112,0.20608107259162978,1.5987455684263816,-0.6160983746386041,0.08059273902778574,-0.6828028429683648,0.14729720735754648,0.0006867659396108652,0.0037180094252957934,0.18471334013797672,0.8534538823128974,1950,0.9374292030584817,50,2005Q4-2015Q2,vacancy,11.159107723175232
19,-0.2424507821290851,0.20758378130661923,-1.1679659200877757,0.24282051194556786,1.3641443904864843,-0.5839261023784738,0.09902453812030351,-0.6493149934900587,0.16441342923188854,0.00027986702885818813,0.0042195901360204706,0.0663256429739721,0.9471185680296409,1900,0.9405079779888508,50,2005Q4-2015Q1,vacancy,11.159107723175232
20,-0.1610142683505535,0.22981829273547116,-0.7006155447159574,0.4835429747591611,0.49086214149763774,-0.5390653599004036,0.2170368231992966,-0.6114581221120771,0.28942958541097,0.000413545190586933,0.004520681396711632,0.09147850828146128,0.9271123825314778,1850,0.9428292112289768,50,2005Q4-2014Q4,vacancy,11.159107723175232
