h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,instr_x_nfci_beta,instr_x_nfci_se,instr_x_nfci_t,instr_x_nfci_p,instr_sd,recsev_beta,recsev_se,recsev_p,horsrace_nfci_beta,horsrace_nfci_se,horsrace_recsev_beta,horsrace_recsev_se
10,0.10116064358963639,0.3527471347358978,0.2867794905417885,0.7742811678066043,0.08224247619540774,-0.47910839305091546,0.6814296802301884,-0.5902237404927232,0.792545027671996,4950,0.8699079338235193,50,1992Q4–2017Q2,0.7805803849346293,0.1613057539275035,4.839135405457698,1.304051815623353e-06,0.16769457392865839,1.2530153265525723,0.30607421788679623,4.243083839755268e-05,0.7140778108272838,0.1438224488272276,0.16751702594752094,0.24058315046854956
11,0.07668375734308693,0.39511506781589856,0.19407955704391727,0.8461135883943987,0.03766687446236314,-0.5732805292140662,0.7266480439002401,-0.6977417755760742,0.8511092902622482,4900,0.8752959891086249,50,1992Q4–2017Q1,0.7587869683404934,0.15407356902187824,4.92483540919823,8.443139042025533e-07,0.16769457392865839,1.195801954622059,0.29631953376249137,5.448263397209143e-05,0.7170645575588702,0.13639592732993105,0.1053493023532011,0.23945409851639327
12,0.08286937482821664,0.4380029895622472,0.18919819453981052,0.8499374826584626,0.03579595681712398,-0.6376455430016801,0.8033842926581134,-0.7756164847137877,0.9413552343702212,4850,0.8801728886542165,50,1992Q4–2016Q4,0.7225063369876967,0.14570242756609764,4.9587803652751985,7.093710958094574e-07,0.16769457392865839,1.1185700173946573,0.2815933756306339,7.118554867809255e-05,0.705818875219873,0.13140143212268965,0.04226278155080518,0.23521133762365593
13,0.09380273144874082,0.48353815398340044,0.1939924092359442,0.8461818255544313,0.03763305484116605,-0.701617531853953,0.8892229947514345,-0.853932050358724,1.0415375132562055,4800,0.8848844193299794,50,1992Q4–2016Q3,0.6735668393959122,0.1373768787717035,4.903058254186014,9.435598719695639e-07,0.16769457392865839,0.9960150400632876,0.26630130849367445,0.0001838879384254347,0.7034833240364475,0.12688332533833008,-0.07580475230325108,0.23272193587241777
14,0.12613357552998353,0.5206552532302879,0.24225929681380579,0.8085792508950916,0.05868956689271965,-0.7303443160338401,0.9826114670938071,-0.8943507208013808,1.1466178718613478,4750,0.8894576881545824,50,1992Q4–2016Q2,0.5998842746693374,0.12928370218977497,4.640061078919058,3.4830621615059108e-06,0.16769457392865839,0.825863434439099,0.2521057953527113,0.001053405524924017,0.686455271058535,0.12421483212492625,-0.2192084575170582,0.23686084606576227
15,0.16918132852987763,0.5485532826843234,0.30841366530885683,0.7577675850278159,0.09511898894924356,-0.7331888214858343,1.0715514785455897,-0.9059831055313962,1.2443457625911516,4700,0.8938193194824293,50,1992Q4–2016Q1,0.5094171679040396,0.12147738860147939,4.193514313805687,2.7466573675636835e-05,0.16769457392865839,0.645052443556998,0.2383296822996696,0.006798527666343525,0.6373184318025875,0.12520514494543877,-0.32370394230878063,0.2472224082866925
16,0.195416870466424,0.5588732345373334,0.3496622460873458,0.7265921904175415,0.12226368633884757,-0.7239296003474894,1.1147633412803375,-0.8999746692267493,1.2908084101595974,4650,0.8980292694507633,50,1992Q4–2015Q4,0.41913147981810034,0.11456731472695353,3.6583861707591714,0.00025380842190333546,0.16769457392865839,0.484791366899684,0.22531134091458163,0.03142485389272988,0.5692919069069156,0.1284499923882618,-0.380007084993494,0.2582364190844754
17,0.23404219461678394,0.558553433766376,0.41901487032067164,0.6752052646814215,0.17557346154984926,-0.6847782039289046,1.1528625931624725,-0.8607225355653132,1.328806924798881,4600,0.9021136779520592,50,1992Q4–2015Q3,0.3289171899652927,0.10810247362563624,3.0426425865549365,0.0023451068650847716,0.16769457392865839,0.3485182275725369,0.2094473957444223,0.09611456565372821,0.4775444472711333,0.1322906100158067,-0.37647093706674517,0.261218687750058
18,0.26696860372806297,0.5520814013915751,0.4835674649700977,0.6286928693856226,0.2338374931776067,-0.6412053015610782,1.1751425090172043,-0.8151109429994243,1.34904815045555,4550,0.9059510452815603,50,1992Q4–2015Q2,0.2423795745716676,0.1010148638743553,2.399444648790945,0.016419962090570225,0.16769457392865839,0.2279963724284354,0.18966121293439253,0.2293153328314539,0.38055196588794965,0.1367120718401158,-0.35079785184290174,0.25980001245361944
19,0.3082582704208966,0.5488209752161836,0.5616736319151651,0.5743384027898988,0.3154772687887723,-0.5945522338097253,1.2110687746515185,-0.7674308410028231,1.3839473818446164,4500,0.9094485901370035,50,1992Q4–2015Q1,0.15724511956336143,0.09340619952956813,1.6834548494137673,0.09228707285605042,0.16769457392865839,0.12386741701112529,0.16485580752154966,0.45243107455195775,0.26995482531279524,0.14221250540936703,-0.2866691718863189,0.255297941799686
20,0.3671759307176744,0.5469040097887697,0.6713718022646944,0.501983703559356,0.4507400968761439,-0.5324811653848518,1.2668330268202006,-0.7047559284683143,1.4391077899036628,4450,0.9125440556472761,50,1992Q4–2014Q4,0.07785412987857973,0.08655603368040563,0.8994650813835083,0.3684049871217989,0.16769457392865839,0.03173304194197005,0.14240697402904354,0.823665107914869,0.16250551005407052,0.14690952801637724,-0.21582145385789842,0.2534056474858591
