h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_h,delta_h_se,delta_h_t,delta_h_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd
10,-0.19095774720096662,0.18827368931451358,-1.014256149631026,0.3104605420900336,1.0287155370643544,-0.5006679661233414,0.11875247172140821,-0.5599741782574132,0.17805868385548,0.0688740850706967,0.11227956818177226,0.6134160131360203,0.5396013005719418,2350,0.9132457257878092,50,2005Q4-2017Q2,vacancy,11.159107723175232
11,-0.19460330990616717,0.20283432880698885,-0.9594199909392356,0.33734720819781094,0.9204867190138428,-0.5282657807936638,0.1390591609813295,-0.5921585943678653,0.202951974555531,0.10656548123538928,0.1330120084226852,0.8011718828930526,0.42303214634170005,2300,0.9198275886559649,50,2005Q4-2017Q1,vacancy,11.159107723175232
12,-0.2365400214427072,0.20668393945342617,-1.1444528397718523,0.2524358853719346,1.309772302461857,-0.5765351018435932,0.10345505895817889,-0.6416405427714225,0.1685604998860081,0.09674473986128916,0.12995701309828323,0.744436468296817,0.4566124632529944,2250,0.9246872948216582,50,2005Q4-2016Q4,vacancy,11.159107723175232
13,-0.2077898530695067,0.19450005449847024,-1.0683279940733434,0.28537258507460184,1.1413247029207738,-0.5277424427194902,0.11216273658047689,-0.5890099598865084,0.17343025374749502,0.1452018529203036,0.1304842023369396,1.1127925857672771,0.26579752041478344,2200,0.9285729877111546,50,2005Q4-2016Q3,vacancy,11.159107723175232
14,-0.2806543595969145,0.1978312007294059,-1.4186556951691072,0.155999419840236,2.0125839814357427,-0.6060866847967872,0.04477796560295823,-0.66840351302655,0.10709479383272108,0.039590382531476995,0.11585110235117627,0.3417350523905051,0.7325502905021631,2150,0.930852038752102,50,2005Q4-2016Q2,vacancy,11.159107723175232
15,-0.28087370371912757,0.19551246368054956,-1.4366025491758463,0.15083095887210687,2.06382688429854,-0.6024917064736316,0.040744299035376484,-0.6640781325330047,0.10233072509474955,0.049271640176220335,0.0909032903326687,0.542022626418762,0.5878029188602061,2100,0.9322980480746467,50,2005Q4-2016Q1,vacancy,11.159107723175232
16,-0.28874623750207157,0.1884939837241659,-1.531859170235431,0.1255571908986317,2.346592517434383,-0.5988188407283245,0.021326365724181298,-0.6581944456014367,0.08070197059729353,0.08397364972247863,0.07957981144204157,1.0552129767690783,0.29132793052308525,2050,0.9334173334930966,50,2005Q4-2015Q4,vacancy,11.159107723175232
17,-0.25419526593602937,0.20148598754089503,-1.2616027002097907,0.20709178406532203,1.591641373176635,-0.5856397154408016,0.07724918356874293,-0.6491078015161835,0.14071726964412481,0.04241946452226081,0.0781093211213779,0.5430781360440083,0.5870760056113135,2000,0.9348137169412485,50,2005Q4-2015Q3,vacancy,11.159107723175232
18,-0.2844821896814802,0.20570288470395617,-1.3829761798960758,0.16667216980782062,1.912623114159943,-0.6228634350194882,0.05389905565652768,-0.6876598437012343,0.11869546433827384,0.03731385595516669,0.09672347723796093,0.3857786860098757,0.6996605818078518,1950,0.9374334964832356,50,2005Q4-2015Q2,vacancy,11.159107723175232
19,-0.23908773808532421,0.205424051024762,-1.1638741271658806,0.24447502607529215,1.3546029838861404,-0.5770103020210577,0.09883482585040929,-0.6417188780938577,0.16354340192320932,-0.01828091155906621,0.11080710666230684,-0.16497959480864968,0.8689600429469805,1900,0.9405091409526559,50,2005Q4-2015Q1,vacancy,11.159107723175232
