h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_lev_h,delta_lev_se,delta_lev_t,delta_lev_p,delta_chg_h,delta_chg_se,delta_chg_t,delta_chg_p,phi_lev_h,phi_lev_p,phi_chg_h,phi_chg_p,nobs,r2,n_clusters,qt_range,outcome,instr_sd,label
10,-0.3458799531766773,0.12133663320327709,-2.8505814282585162,0.004363937486772253,8.125814479132362,-0.5454787147960681,-0.1462811915572865,-0.5836997542551003,-0.10806015209825422,0.08604249284153896,0.07472283204690074,1.1514886479079554,0.24953126283508043,0.325248648625781,0.16887542332058997,1.9259679249379884,0.054108378992601756,-0.06033552532368859,0.453626776359491,-0.4026762613814597,0.1617185054727659,3250,0.8902356571882959,50,2001Q2–2017Q2,vacancy,14.014983574386225,δ  (sev+vac)
11,-0.3905738192794851,0.12453923424726891,-3.136150801313043,0.0017118115784302414,9.83544184857644,-0.5954408596162425,-0.18570677894272775,-0.6346707184041323,-0.14647692015483804,0.07122691177266019,0.0784783297443165,0.9075997412880532,0.3640897310590927,0.22173770663086292,0.19139978929855453,1.15850548970556,0.24665781269109155,-0.10270347333473488,0.21708710502093487,-0.1992840810270952,0.48469542461968596,3200,0.8958518815895359,50,2001Q2–2017Q1,vacancy,14.014983574386225,δ  (sev+vac)
12,-0.42241142302683055,0.12071765486673038,-3.4991685639781807,0.00046671143106589123,12.244180639133123,-0.620991965282602,-0.22383088077105903,-0.6590180265656221,-0.185804819488039,0.04698212505307995,0.08214669261295694,0.571929600068518,0.5673696697723409,0.13500571603252215,0.20574682952428092,0.6561739801516098,0.5117121884973166,-0.10655055706017938,0.19310855545899497,-0.09254906566513178,0.7368725898752071,3150,0.9012505448795787,50,2001Q2–2016Q4,vacancy,14.014983574386225,δ  (sev+vac)
13,-0.4190657968050865,0.12277848242477633,-3.413185995859159,0.0006420810415136826,11.64983864232908,-0.6210364003938436,-0.2170951932163294,-0.6597116223576481,-0.17841997125252487,0.03876678832827475,0.08866235229393721,0.43724069264205223,0.6619368013395024,0.31251819583985796,0.25145402472892714,1.2428442781011733,0.21392522246611434,-0.1120218999589309,0.19057242958940734,-0.03333810921431167,0.9069338623847821,3100,0.9052789988449161,50,2001Q2–2016Q3,vacancy,14.014983574386225,δ  (sev+vac)
14,-0.44413772438885296,0.12279973558968187,-3.6167645008037885,0.0002983084756870161,13.080985454274478,-0.6461432894338797,-0.2421321593438263,-0.6848252061446294,-0.20345024263307648,-0.00907750158823821,0.08830811569950096,-0.10279351468813536,0.9181268525280742,0.15183399118823895,0.22745864553298883,0.6675235000738546,0.5044378040364268,-0.13411556181568474,0.10951966757426813,0.009655794612785908,0.9723640344461251,3050,0.9097651034971789,50,2001Q2–2016Q2,vacancy,14.014983574386225,δ  (sev+vac)
15,-0.42608290086513917,0.12593771372357487,-3.3832828012136504,0.0007162483660926143,11.446602512988086,-0.6332504399404199,-0.21891536178985851,-0.672920819763346,-0.17924498196693248,-0.010202112236930997,0.08987933209453382,-0.11350899032272022,0.9096270359013999,0.08428492479105763,0.20294238988754024,0.41531453747915265,0.6779116603926434,-0.13257983026298562,0.1259584763542603,0.054028912828777226,0.8506780757404354,3000,0.9133281532777768,50,2001Q2–2016Q1,vacancy,14.014983574386225,δ  (sev+vac)
16,-0.42408346708104616,0.12964514276492767,-3.2711095690641763,0.0010712639628933228,10.700157812823221,-0.6373497269293521,-0.21081720723274014,-0.6781879469003044,-0.16997898726178795,0.00775444081134321,0.08585714579635377,0.09031794313004672,0.9280345618681209,0.09224244418685987,0.2127569365246048,0.43355786980976885,0.6646095340990344,-0.13752202571574845,0.10741701598405112,0.10770332724276284,0.6985067178966562,2950,0.9173128083198768,50,2001Q2–2015Q4,vacancy,14.014983574386225,δ  (sev+vac)
17,-0.40944842532111797,0.13337327146553632,-3.069943631298866,0.002140991749612426,9.424553899352468,-0.6288474568819252,-0.19004939376031074,-0.6708600373935691,-0.1480368132486668,-0.008992061327134126,0.08238722105149555,-0.10914388435936806,0.9130883680884505,-0.09616196232345188,0.2204985185103562,-0.4361116028039681,0.6627557592649901,-0.16285501596599342,0.05521964043450957,0.19710206355486337,0.4717203495349871,2900,0.9206369185102858,50,2001Q2–2015Q3,vacancy,14.014983574386225,δ  (sev+vac)
18,-0.4194588509416997,0.13860126173980253,-3.0263710854894947,0.00247508338033957,9.158921947086863,-0.6474579265036748,-0.19145977537972458,-0.6911173239517127,-0.14780037793168677,-0.0007470555274437339,0.07357984436910528,-0.010152991404768557,0.9918992240881072,-0.058416352354877396,0.20395999371398615,-0.28641083621916,0.7745634760846059,-0.16173132107399535,0.0643784275611224,0.2771509359288985,0.29815891053181764,2850,0.9245242559904855,50,2001Q2–2015Q2,vacancy,14.014983574386225,δ  (sev+vac)
19,-0.41253764447010227,0.13890184745140435,-2.969993934849794,0.0029780562869697468,8.820863973044563,-0.6410311835276624,-0.1840441054125421,-0.6847852654748549,-0.14029002346534974,0.017305949522450556,0.07055917158601997,0.24526860411551968,0.8062484596953795,-0.09760857099325182,0.26277036653560787,-0.3714595838188814,0.7102952533930835,-0.19562675461497273,0.01674739780327602,0.40042236249332086,0.11595945082669988,2800,0.9275744485547256,50,2001Q2–2015Q1,vacancy,14.014983574386225,δ  (sev+vac)
20,-0.4127557353324936,0.1438409741829368,-2.869528225021275,0.004110846415074571,8.234192234193747,-0.6493741378634246,-0.17613733280156263,-0.6946840447310496,-0.1308274259339375,0.06252698953812998,0.05853528061309299,1.0681932141304904,0.285433365129082,0.06386581239828204,0.28713186843391547,0.22242676421332525,0.823981678774716,-0.198643551869072,0.016227801024087662,0.5068459710661037,0.03748080287113657,2750,0.9305426956323888,50,2001Q2–2014Q4,vacancy,14.014983574386225,δ  (sev+vac)
