quarter_label,s_nat,g_ld_nat,g_delta_nat
1971Q4,0.10375873504246069,,
1972Q1,0.09805934472897415,,
1972Q2,0.09879592977824514,,
1972Q3,0.1028925825380167,,
1972Q4,0.09171911928328402,,
1973Q1,0.09730991067440353,,
1973Q2,0.10002080248426048,,
1973Q3,0.09540455611362697,,
1973Q4,0.09992881793757358,,
1974Q1,0.10225810075372432,,
1974Q2,0.10523091210683089,,
1974Q3,0.11245251825184865,,
1974Q4,0.12753345441479214,,
1975Q1,0.1212765771076626,,
1975Q2,0.11775966219620049,,
1975Q3,0.11538470593091577,,
1975Q4,0.10939400299611335,,
1976Q1,0.11074634526134508,,
1976Q2,0.11184958697307912,,
1976Q3,0.1140419927401356,,
1976Q4,0.11199481345310569,,
1977Q1,0.11735142539428123,,
1977Q2,0.11269078812445377,,
1977Q3,0.1107332601820773,,
1977Q4,0.10767587600029693,,
1978Q1,0.10632747160374989,,
1978Q2,0.10977266915877526,,
1978Q3,0.10814882010659099,,
1978Q4,0.10731399929237073,,
1979Q1,0.10688907256847868,,
1979Q2,0.10647635459200455,,
1979Q3,0.11369601792316908,,
1979Q4,0.11199421194130443,,
1980Q1,0.11440510821426642,,
1980Q2,0.12526502681411,,
1980Q3,0.11592684998557268,,
1980Q4,0.11218121965766914,,
1981Q1,0.11476361108068334,,
1981Q2,0.11707818262000647,,
1981Q3,0.12124580322048861,,
1981Q4,0.13543322959049997,,
1982Q1,0.1335921952871063,,
1982Q2,0.1295552199065534,,
1982Q3,0.13245285720266065,,
1982Q4,0.1305356309192809,,
1983Q1,0.12149588116147525,,
1983Q2,0.12068891627349887,,
1983Q3,0.12269587492864276,,
1983Q4,0.11399472211911998,,
1984Q1,0.1121290564663664,,
1984Q2,0.10890709093432749,,
1984Q3,0.1147520537688882,,
1984Q4,0.11561625628562577,,
1985Q1,0.11567260836221249,,
1985Q2,0.11647367066425207,,
1985Q3,0.11390681036996253,,
1985Q4,0.11188008837588637,,
1986Q1,0.11473108343628646,,
1986Q2,0.11327877415953058,,
1986Q3,0.10983162007405123,,
1986Q4,0.10745892046640093,,
1987Q1,0.10540761235788831,,
1987Q2,0.10326976667257992,,
1987Q3,0.10244165235550562,,
1987Q4,0.10006926036402575,,
1988Q1,0.09736049276044512,,
1988Q2,0.09682102167162532,,
1988Q3,0.09918046984915674,,
1988Q4,0.09607678642713124,,
1989Q1,0.09808460657727458,,
1989Q2,0.0993107987488735,,
1989Q3,0.09857132127949386,,
1989Q4,0.10022504069014926,,
1990Q1,0.09915987709987872,,
1990Q2,0.0964299393531095,,
1990Q3,0.09995703850380311,,
1990Q4,0.10375425538968375,,
1991Q1,0.10482701729128896,,
1991Q2,0.10402402906902519,,
1991Q3,0.10298346300573324,,
1991Q4,0.10125021324972328,,
1992Q1,0.09698778261119423,,
1992Q2,0.09982081526924635,,
1992Q3,0.0991389125455685,,0.011241665422117115
1992Q4,0.09448435079650785,,0.01081065185364297
1993Q1,0.09778257354135278,,0.011707148429385085
1993Q2,0.0951550076327583,,0.01092604152644901
1993Q3,0.09267314120599057,,0.010438282291001725
1993Q4,0.09686768525309952,,0.010684113738677906
1994Q1,0.09198276533153749,,0.011512484190979808
1994Q2,0.09196216237665367,,0.011680402016101257
1994Q3,0.08591604195246438,,0.010331972023254882
1994Q4,0.08845334890994472,,0.011294669495086647
1995Q1,0.08652685095184165,,0.011236878730403146
1995Q2,0.08802779188788401,,0.011561128928389522
1995Q3,0.09232643681016262,,0.011893753225635505
1995Q4,0.0902292261336286,,0.011930890621294162
1996Q1,0.0858962169278108,,0.012183368737565082
1996Q2,0.08743086987376358,,0.01195070537645483
1996Q3,0.08156992557600184,,0.012186721156766105
1996Q4,0.09031003613785915,,0.011932329030507569
1997Q1,0.08187625465409198,,0.012477715005908559
1997Q2,0.08070048680511632,,0.01223833209349404
1997Q3,0.08157130716958505,,0.01345902374090948
1997Q4,0.0820285696932409,,0.014640114757603427
1998Q1,0.08766305740854974,,0.015135182361400571
1998Q2,0.0840527476910563,,0.014002752830438931
1998Q3,0.08733407132093585,,0.013263363675863683
1998Q4,0.08162530106464738,,0.013092033182095045
1999Q1,0.08446202433608274,,0.015012070176073613
1999Q2,0.08255030336959923,,0.013164348401282467
1999Q3,0.08309673108675486,,0.013777175150911265
1999Q4,0.08368156448648933,,0.01277099238925094
2000Q1,0.08436677015554694,,0.013445810602775386
2000Q2,0.08033205245437924,,0.012707603521736036
2000Q3,0.08082832125502393,,0.013706474208089766
2000Q4,0.07966197652428386,0.043350653620924606,0.012985482395007094
2001Q1,0.08936877966217738,0.044399850810906805,0.015359221836856868
2001Q2,0.08443572187960524,0.04261641058058585,0.013617998960440152
2001Q3,0.0907732489511539,0.044353294528867826,0.014143032799782582
2001Q4,0.09277389160105043,0.046928012772434635,0.013181155360898315
2002Q1,0.09034990419596878,0.04178216194713702,0.013354450507296157
2002Q2,0.08443989932763196,0.042917249127622736,0.01301369047530506
2002Q3,0.08447161248337032,0.04355444633774275,0.012341794408662272
2002Q4,0.08583852160107042,0.042458602978811544,0.012143137069173046
2003Q1,0.08256149861450379,0.043537678553349335,0.01269615642383437
2003Q2,0.08408894463067862,0.04398637167933772,0.01172907257680685
2003Q3,0.08046098112545363,0.04409260476577248,0.011056219869383866
2003Q4,0.07721613487420786,0.04225490325665693,0.011357989875111288
2004Q1,0.07662367184745844,0.0433123340429411,0.011847395275577455
2004Q2,0.0805655751043508,0.04125609891638826,0.012016905506210162
2004Q3,0.0798319214001556,0.04159174989535752,0.012341011151228862
2004Q4,0.07871359214174023,0.04148108754702973,0.011502029317618546
2005Q1,0.07714847054594398,0.04394471870619199,0.011786119833917887
2005Q2,0.07788536022021153,0.041750059389119465,0.011418235173174605
2005Q3,0.07813409484750677,0.04044993266521202,0.01167670990841935
2005Q4,0.07737119957710692,0.03851903523678679,0.010995449359153966
2006Q1,0.07647594557193116,0.038218604923097144,0.010502054838598373
2006Q2,0.07709764128376106,0.03878205791112177,0.011073984776530179
2006Q3,0.07604070916489702,0.037340745212302684,0.010969904870817759
2006Q4,0.07289230623145326,0.03794456191805218,0.010935784471146686
2007Q1,0.0697280588475282,0.03819353056814301,0.010621087781092095
2007Q2,0.07108436474133206,0.039323665055328916,0.011459458714421498
2007Q3,0.0730634925668554,0.04132832018417054,0.01119312477009041
2007Q4,0.07409710172517603,0.039656962776733584,0.01100936985308842
2008Q1,0.07489956222733662,0.03982642604892783,0.0113244475133051
2008Q2,0.08209158472286138,0.04109095649726335,0.012091600366042536
2008Q3,0.08506289952629453,0.04307170979598329,0.011370563181438066
2008Q4,0.09158979709473802,0.04795452829005842,0.012114317710572435
2009Q1,0.09258315765845626,0.053811247478957935,0.011427331589833483
2009Q2,0.08566521134382532,0.05006565831693821,0.01131829169283707
2009Q3,0.08112297339189589,0.046468277495138266,0.011094100248119217
2009Q4,0.07853684889965096,0.042558295540812696,0.01064660928452511
2010Q1,0.07493632515724102,0.040068445805128805,0.010048050048925764
2010Q2,0.0751865708417584,0.039588924368760714,0.009748427743028748
2010Q3,0.07351875631384586,0.04166702456064131,0.010273564487790984
2010Q4,0.07535921033151549,0.03864177847444006,0.01025706700173028
2011Q1,0.07044170679356876,0.03806446510824135,0.009482105189556504
2011Q2,0.074795935563984,0.03986551337334143,0.01020634119874022
2011Q3,0.0730543109968037,0.039236872773837916,0.009602392885965117
2011Q4,0.06991005689951635,0.038631245586547736,0.010082906225077388
