h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,outcome,delta_h,delta_h_se,delta_h_t,delta_h_p,instr_sd
11,0.6414788469721819,0.36000310715271755,1.7818703067472668,0.07477038372963377,3.1750617900675984,0.049273735705961566,1.2336839582384025,-0.06412724304714439,1.3470849369915083,5300,0.8658999938053482,50,1992Q4-2019Q1,unemp,0.5760543528415075,0.15975839117831012,3.6057846388710795,0.00031121115854949844,0.16769457392865822
12,0.6449219777400559,0.3886744591506994,1.6592857147065647,0.09705823247266758,2.753229083029275,0.00555249243715525,1.2842914630429565,-0.11687996219531509,1.406723917675427,5250,0.869663833006213,50,1992Q4-2018Q4,unemp,0.5471722975369642,0.15284111531389866,3.58000722785361,0.0003435847036786583,0.16769457392865822
13,0.6570631139508376,0.4219572191395644,1.5571794583599974,0.11942788398986498,2.4248078655383347,-0.03705651153374585,1.3511827394354212,-0.16997303556270862,1.4840992634643837,5200,0.8732207673776281,50,1992Q4-2018Q3,unemp,0.514388668405375,0.14599224339671257,3.5233972465756214,0.0004260522629087633,0.16769457392865822
14,0.7800262596488179,0.45131744437444204,1.7283317305183927,0.08392876740064899,2.987130570716702,0.03760906365286066,1.522443455644775,-0.10455593132508856,1.6646084506227243,5150,0.8772470407406803,50,1992Q4-2018Q2,unemp,0.44988660796041463,0.13927771149795193,3.230140724756453,0.0012372930137056223,0.16769457392865822
15,0.8757621680535671,0.4822187760763434,1.8161096404817698,0.0693535551730229,3.2982542262508234,0.0825122814079823,1.6690120546991523,-0.06938663305606592,1.8209109691632002,5100,0.881351351136955,50,1992Q4-2018Q1,unemp,0.36981781048906603,0.1322348433629307,2.796674470087033,0.0051631525745585004,0.16769457392865822
16,0.9629834956164403,0.4919517976698402,1.9574753058687264,0.05029161232021751,3.831709573085864,0.15372278844955312,1.7722442027833274,-0.0012420278164465253,1.9272090190493272,5050,0.8853218141617569,50,1992Q4-2017Q4,unemp,0.2777516294470828,0.1257273620350872,2.209158173298583,0.02716364102101518,0.16769457392865822
17,0.907819464211439,0.4544010242975797,1.99783762726935,0.045734266537784306,3.9913551849332265,0.16032977924192024,1.6553091491809577,0.017193456588182776,1.7984454718346954,5000,0.8888876166184726,50,1992Q4-2017Q3,unemp,0.20575666816150479,0.11864683663401061,1.7341943030154399,0.08288361345507639,0.16769457392865822
18,0.8765646227577414,0.4346248760685909,2.0168303082113623,0.04371322490094632,4.067604492119939,0.16160670162490937,1.5915225438905733,0.02469986566330327,1.7284293798521795,4950,0.8921690654105849,50,1992Q4-2017Q2,unemp,0.12333879794002187,0.1103103420170644,1.118107293339205,0.2635211718742544,0.16769457392865822
19,0.8741230363982511,0.420433887270713,2.0790974820624113,0.0376083914948939,4.322646339918259,0.18250929183792822,1.565736780958574,0.05007261734765356,1.6981734554488486,4900,0.8949579770473596,50,1992Q4-2017Q1,unemp,0.04181605933363348,0.10022487262909556,0.41722237441381554,0.6765157610276511,0.16769457392865822
20,0.9167596359540567,0.4304037240425427,2.129999311677519,0.033171670194509256,4.536897067746705,0.20874550990407398,1.6247737620040394,0.07316833683067307,1.7603509350774404,4850,0.8973980404897738,50,1992Q4-2016Q4,unemp,-0.04363955267601685,0.09238896203780385,-0.4723459568488318,0.6366798723825002,0.16769457392865822
