,0,1,2,3,4,5
2012-11-01,164.0,90.0,97.0,683.0,749.0,499.0
2012-12-01,165.0,85.0,129.0,802.0,697.0,481.0
2013-01-01,156.0,96.0,120.0,745.0,776.0,470.0
2013-02-01,179.0,104.0,137.0,648.0,757.0,520.0
2013-03-01,174.0,84.0,116.0,734.0,750.0,514.0
2013-04-01,156.0,87.0,113.0,796.0,761.0,478.0
2013-05-01,154.0,94.0,120.0,817.0,788.0,469.0
2013-06-01,137.0,78.0,131.0,894.0,749.0,489.0
2013-07-01,122.0,99.0,104.0,727.0,696.0,503.0
2013-08-01,194.0,91.0,112.0,766.0,809.0,523.0
2013-09-01,177.0,91.0,128.0,810.0,751.0,550.0
2013-10-01,178.0,116.0,137.0,779.0,819.0,540.0
2013-11-01,171.0,145.0,156.0,800.0,745.0,543.0
2013-12-01,180.0,114.0,119.0,825.0,774.0,585.0
2014-01-01,168.0,94.0,155.0,816.0,713.0,596.0
2014-02-01,163.0,123.0,139.0,878.0,848.0,558.0
2014-03-01,157.0,125.0,125.0,942.0,773.0,571.0
2014-04-01,172.0,103.0,116.0,955.0,842.0,662.0
2014-05-01,175.0,119.0,119.0,937.0,857.0,710.0
2014-06-01,189.0,129.0,155.0,953.0,916.0,674.0
2014-07-01,191.0,104.0,149.0,937.0,908.0,630.0
2014-08-01,185.0,136.0,127.0,1180.0,967.0,705.0
2014-09-01,185.0,125.0,116.0,921.0,941.0,708.0
2014-10-01,189.0,105.0,149.0,946.0,956.0,671.0
2014-11-01,202.0,125.0,139.0,880.0,970.0,631.0
2014-12-01,191.0,116.0,139.0,911.0,1041.0,707.0
2015-01-01,199.0,122.0,147.0,976.0,1028.0,802.0
2015-02-01,194.0,115.0,171.0,1061.0,1082.0,750.0
2015-03-01,197.0,125.0,165.0,908.0,1101.0,719.0
2015-04-01,200.0,123.0,152.0,987.0,1239.0,720.0
2015-05-01,193.0,131.0,158.0,1005.0,1235.0,703.0
2015-06-01,176.0,115.0,145.0,958.0,1109.0,666.0
2015-07-01,198.0,139.0,147.0,1257.0,1146.0,761.0
2015-08-01,191.0,122.0,143.0,1034.0,1091.0,695.0
2015-09-01,185.0,130.0,122.0,1050.0,1110.0,705.0
2015-10-01,182.0,133.0,136.0,1080.0,1212.0,785.0
2015-11-01,173.0,126.0,123.0,1025.0,1285.0,764.0
2015-12-01,185.0,148.0,158.0,1050.0,1199.0,747.0
2016-01-01,177.0,145.0,169.0,1065.0,1310.0,759.0
2016-02-01,170.0,155.0,193.0,1080.0,1236.0,758.0
2016-03-01,175.0,161.0,206.0,1063.0,1471.0,827.0
2016-04-01,195.0,192.0,178.0,1095.0,1049.0,763.0
2016-05-01,185.0,168.0,176.0,1081.0,1163.0,743.0
2016-06-01,197.0,166.0,178.0,1077.0,1143.0,794.0
2016-07-01,198.0,146.0,210.0,1060.0,1248.0,757.0
2016-08-01,184.0,142.0,186.0,1013.0,1105.0,803.0
2016-09-01,187.0,139.0,260.0,1032.0,1204.0,739.0
2016-10-01,184.0,115.0,219.0,1012.0,985.0,760.0
2016-11-01,195.0,150.0,204.0,981.0,1227.0,765.0
2016-12-01,202.0,167.0,183.0,1071.0,1081.0,748.0
2017-01-01,212.0,159.0,161.0,981.0,984.0,724.0
2017-02-01,202.0,166.0,190.0,1037.0,986.0,898.0
2017-03-01,226.0,168.0,175.0,1097.0,1009.0,749.0
2017-04-01,201.0,172.0,207.0,1018.0,1047.0,843.0
2017-05-01,196.0,152.0,172.0,1052.0,1010.0,843.0
2017-06-01,218.0,175.0,203.0,1107.0,1237.0,854.0
2017-07-01,180.0,191.0,210.0,1141.0,1131.0,861.0
2017-08-01,242.0,178.0,206.0,1255.0,1110.0,909.0
2017-09-01,274.0,160.0,194.0,1205.0,1113.0,790.0
2017-10-01,255.0,168.0,204.0,1170.0,1323.0,796.0
2017-11-01,260.0,176.0,243.0,1279.0,1034.0,877.0
2017-12-01,246.0,159.0,232.0,1407.0,971.0,884.0
2018-01-01,267.0,180.0,250.0,1374.0,1118.0,931.0
2018-02-01,275.0,166.0,218.0,1302.0,1108.0,901.0
2018-03-01,247.0,169.0,223.0,1406.0,1185.0,928.0
2018-04-01,276.0,162.0,223.0,1511.0,1196.0,968.0
2018-05-01,296.0,164.0,266.0,1491.0,1239.0,975.0
2018-06-01,290.0,171.0,289.0,1492.0,1268.0,1061.0
2018-07-01,280.0,178.0,272.0,1481.0,1253.0,1019.0
2018-08-01,292.0,207.0,286.0,1287.0,1331.0,1007.0
2018-09-01,304.0,174.0,315.0,1523.0,1342.0,1073.0
2018-10-01,313.0,190.0,275.0,1430.0,1344.0,1015.0
2018-11-01,319.0,202.0,314.0,1593.0,1343.0,1023.0
2018-12-01,310.0,157.0,394.0,1412.0,1351.0,1075.0
2019-01-01,281.0,149.0,309.0,1446.0,1391.0,1121.0
2019-02-01,286.0,172.0,287.0,1273.0,1387.0,998.0
2019-03-01,286.0,149.0,359.0,1311.0,1347.0,1005.0
2019-04-01,285.0,166.0,405.0,1350.0,1169.0,1024.0
2019-05-01,288.0,182.0,357.0,1312.0,1277.0,1018.0
2019-06-01,280.0,185.0,302.0,1358.0,1279.0,945.0
2019-07-01,278.0,173.0,323.0,1286.0,1252.0,959.0
2019-08-01,285.0,154.0,328.0,1294.0,1282.0,961.0
2019-09-01,263.0,181.0,332.0,1263.0,1241.0,1025.0
2019-10-01,251.0,148.0,326.0,1424.0,1205.0,993.0
2019-11-01,271.0,143.0,242.0,1253.0,1202.0,973.0
2019-12-01,223.0,157.0,257.0,1189.0,1237.0,926.0
2020-01-01,249.0,158.0,299.0,1253.0,1293.0,913.0
2020-02-01,244.0,149.0,291.0,1214.0,1288.0,940.0
2020-03-01,159.0,135.0,226.0,1087.0,1095.0,653.0
2020-04-01,156.0,143.0,211.0,859.0,817.0,321.0
2020-05-01,181.0,133.0,283.0,1064.0,1001.0,710.0
2020-06-01,172.0,166.0,228.0,1104.0,1079.0,876.0
2020-07-01,212.0,181.0,306.0,1267.0,1149.0,781.0
2020-08-01,234.0,224.0,254.0,1240.0,1152.0,763.0
